exp,rho,sigma,seed,m,absorbed,cos_comp,rec,wall_s,n11,n10,n01,rho_count,rho_c,rho_x,rho_d,ties,lo_is_comp,m_n11,m_n10,m_n01,m_rho_count,m_rho_c,m_rho_x,m_rho_d,m_ties,m_lo_is_comp,rho_d_t002,rho_d_t010,a1,a0,g0,g1,b_p,b_c,n_j11,n_s11,delta_J,delta_S,q11_B,q10_B,q01_B,pi_B,h_B,b11_frac,rho_real,rho_d_auto,q,p0,cos_child
SC,0.7,0.0,43,32,1,0.983,0.0968,443.8,1,11316,26352,0.30043,0.69959,0.69959,0.69957,0,0,1,11316,26352,0.30043,0.69959,0.69959,0.69957,0,0,0.69957,0.69957,1.0,9e-05,1.0,0.0,0.0,0.0,0,1,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.69957,0.30043,,,
SC,0.7,0.0,44,32,1,0.9894,0.1002,443.8,1630,10985,24723,0.33786,0.7058,0.69237,0.70028,0,0,1630,10985,24723,0.33786,0.7058,0.69237,0.70028,0,0,0.70028,0.70028,1.0,0.01841,1.0,0.05446,0.0,0.0,1424,206,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.70028,0.29972,,,
SC,0.7,0.0,45,32,1,0.9937,0.0853,443.8,0,11113,26422,0.29607,0.70393,0.70393,0.70393,0,0,0,11113,26422,0.29607,0.70393,0.70393,0.70393,0,0,0.70393,0.70393,1.0,0.0,1.0,0.0,0.0,0.0,0,0,nan,nan,0.0,0.0,0.0,nan,nan,0.0,0.70393,0.29607,,,
SC,0.7,0.0,46,32,1,0.9919,0.0905,443.8,100,11259,26116,0.30311,0.69956,0.69876,0.69689,0,0,100,11259,26116,0.30311,0.69956,0.69876,0.69689,0,0,0.69689,0.69689,1.0,0.0088,1.0,0.0,0.0,0.0,0,100,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.69689,0.30311,,,
SC,0.7,0.0,47,32,1,0.9925,0.0912,443.8,87,11133,26076,0.30084,0.7015,0.7008,0.69916,0,0,87,11133,26076,0.30084,0.7015,0.7008,0.69916,0,0,0.69916,0.69916,1.0,0.00775,1.0,0.0,0.0,0.0,0,87,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.69916,0.30084,,,
SC,0.7,0.0,48,32,1,0.9836,0.0928,443.8,6,11343,26328,0.30122,0.69894,0.69889,0.69894,0,0,6,11343,26328,0.30122,0.69894,0.69889,0.69894,0,0,0.69894,0.69894,1.0,0.0,1.0,0.00023,0.0,0.0,6,0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,0.69894,0.30106,,,
SC,0.7,0.0,49,32,1,0.9918,0.0902,443.8,6,11128,26371,0.29687,0.70329,0.70325,0.70313,0,0,6,11128,26371,0.29687,0.70329,0.70325,0.70313,0,0,0.70313,0.70313,1.0,0.00054,1.0,0.0,0.0,0.0,0,6,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.70313,0.29687,,,
SC,0.7,0.0,50,32,0,0.9793,0.1227,443.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0.7,0.0,51,32,0,0.9892,0.1161,443.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0.7,0.0,52,32,0,0.9871,0.1221,443.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0.7,0.0,53,32,1,0.9818,0.1635,443.8,332,11285,25720,0.31114,0.69775,0.69504,0.69714,0,0,332,11285,25720,0.31114,0.69775,0.69504,0.69714,0,0,0.6971,0.69714,1.0,0.00203,1.0,0.01187,0.0,0.0,309,23,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.69714,0.30286,,,
SC,0.7,0.0,54,32,1,0.9921,0.0849,443.8,30,11212,26107,0.301,0.6998,0.69956,0.69967,0,0,30,11212,26107,0.301,0.6998,0.69956,0.69967,0,0,0.69967,0.69967,1.0,0.00045,1.0,0.00096,0.0,0.0,25,5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.69967,0.30033,,,
SC,0.7,0.0,55,32,1,0.99,0.0901,443.8,74,11333,26264,0.30281,0.69916,0.69857,0.69719,0,0,74,11333,26264,0.30281,0.69916,0.69857,0.69719,0,0,0.69719,0.69719,1.0,0.00649,1.0,0.0,0.0,0.0,0,74,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.69719,0.30281,,,
SC,0.7,0.0,56,32,1,0.9867,0.0915,443.8,2311,8985,26218,0.30111,0.76049,0.74477,0.70062,0,0,2311,8985,26218,0.30111,0.76049,0.74477,0.70062,0,0,0.70062,0.70062,1.0,0.19998,1.0,0.00247,0.0,0.0,65,2246,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.70062,0.29938,,,
SC,0.7,0.0,57,32,1,0.995,0.0873,443.8,41,11430,26103,0.30529,0.6958,0.69547,0.69471,0,0,41,11430,26103,0.30529,0.6958,0.69547,0.69471,0,0,0.69471,0.69471,1.0,0.00357,1.0,0.0,0.0,0.0,0,41,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.69471,0.30529,,,
SC,0.7,0.0,58,32,1,0.9915,0.0889,443.8,0,11271,26397,0.29922,0.70078,0.70078,0.70078,0,0,0,11271,26397,0.29922,0.70078,0.70078,0.70078,0,0,0.70078,0.70078,1.0,0.0,1.0,0.0,0.0,0.0,0,0,nan,nan,0.0,0.0,0.0,nan,nan,0.0,0.70078,0.29922,,,
SC,0.7,0.0,59,32,0,0.9878,0.1949,443.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0.7,0.0,60,32,1,0.9918,0.0876,443.8,14,11253,26403,0.2991,0.70127,0.70116,0.70101,0,0,14,11253,26403,0.2991,0.70127,0.70116,0.70101,0,0,0.70102,0.70101,1.0,0.00089,1.0,0.00015,0.0,0.0,4,10,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.70101,0.29899,,,
SC,0.7,0.0,61,32,1,0.9921,0.0909,443.8,112,11255,26205,0.30254,0.70044,0.69955,0.70044,0,0,112,11255,26205,0.30254,0.70044,0.69955,0.70044,0,0,0.70044,0.70044,1.0,0.0,1.0,0.00426,0.0,0.0,112,0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,0.70044,0.29956,,,
SC,0.7,0.0,62,32,1,0.9857,0.0919,443.8,13,11294,26135,0.30199,0.69836,0.69826,0.69812,0,0,13,11294,26135,0.30199,0.69836,0.69826,0.69812,0,0,0.69812,0.69812,1.0,0.0008,1.0,0.00015,0.0,0.0,4,9,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.69812,0.30188,,,
SC,0.7,0.0,63,32,1,0.9859,0.0914,443.8,301,11077,26226,0.30257,0.70543,0.70305,0.70147,0,0,301,11077,26226,0.30257,0.70543,0.70305,0.70147,0,0,0.70147,0.70147,1.0,0.01327,1.0,0.00576,0.0,0.0,152,149,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.70147,0.29853,,,
SC,0.7,0.05,40,32,1,0.9942,0.2262,443.8,6264,7365,23698,0.36512,0.80269,0.7629,0.69982,0,0,6264,7276,23698,0.36361,0.80461,0.76509,0.70149,0,0,0.69507,0.70143,1.0,0.34545,1.0,0.0928,0.00079,0.0,2424,3840,0.0,0.0,0.0,0.00079,0.0,nan,0.0,0.0,0.70149,0.30018,,,
SC,0.7,0.05,41,32,1,0.9937,0.2308,443.8,12931,7596,17306,0.54257,0.79922,0.69496,0.69624,0,0,12931,7447,17262,0.54139,0.80215,0.69861,0.69865,0,0,0.6904,0.69847,1.0,0.34347,1.0,0.34358,0.00133,0.00039,9035,3896,0.0,0.0,0.0,0.00133,0.00039,nan,0.22798,0.0,0.69865,0.30376,,,
SC,0.7,0.05,42,32,1,0.9926,0.2252,443.8,9497,9075,18947,0.495,0.75812,0.67615,0.6989,0,0,9497,9007,18946,0.4941,0.75949,0.67778,0.70016,0,0,0.6953,0.70005,1.0,0.19788,1.0,0.27745,0.0006,1e-05,7275,2222,0.0,0.0,0.0,0.0006,1e-05,nan,0.01449,0.0,0.70016,0.3011,,,
SC,0.7,0.05,43,32,1,0.9839,0.2313,443.8,11145,9485,17113,0.54659,0.7487,0.64339,0.69841,0,0,11145,9419,17105,0.54591,0.74995,0.64489,0.69957,0,0,0.69459,0.69949,1.0,0.16771,1.0,0.3509,0.00059,7e-05,9247,1898,0.0,0.0,0.0,0.00059,7e-05,nan,0.10811,0.0,0.69957,0.30159,,,
SC,0.7,0.05,44,32,1,0.9898,0.2361,443.8,13953,8331,15190,0.59465,0.77769,0.64581,0.69944,0,0,13953,8259,15126,0.59489,0.7788,0.64682,0.70028,0,0,0.69785,0.70017,1.0,0.262,1.0,0.4215,0.00064,0.00057,11021,2932,0.0,0.0,0.0,0.00064,0.00057,nan,0.47059,0.0,0.70028,0.30056,,,
