q,lam,eps,seed,phi_child,has_parent,loss,top_latents
0.2,0.3,0.18,2,86.24174499511719,1,0.9788845777511597,"[[0.964519739151001, 86.24174499511719], [0.9523029327392578, 4.656732559204102]]"
0.1,0.2,0.0,0,45.884071350097656,1,0.590311586856842,"[[0.98139488697052, 45.884071350097656], [0.9751223921775818, -0.35721883177757263]]"
0.1,0.2,0.0,1,44.59226608276367,1,0.5754624605178833,"[[0.991094708442688, 44.59226608276367], [0.9777025580406189, 1.277819037437439]]"
0.1,0.2,0.0,2,46.749080657958984,1,0.573866605758667,"[[0.9898579120635986, 46.749080657958984], [0.9854860305786133, -1.0287995338439941]]"
0.1,0.2,0.005,0,46.57331466674805,1,0.5928348898887634,"[[0.9814983606338501, 46.57331466674805], [0.9751330614089966, -0.45887473225593567]]"
0.1,0.2,0.005,1,45.1822624206543,1,0.5797578692436218,"[[0.9906007051467896, 45.1822624206543], [0.9776342511177063, 1.1996653079986572]]"
0.1,0.2,0.005,2,48.05250930786133,1,0.5776877403259277,"[[0.9897858500480652, 48.05250930786133], [0.9854373931884766, -1.1062554121017456]]"
0.1,0.2,0.01,0,47.60311508178711,1,0.5959194898605347,"[[0.9816474914550781, 47.60311508178711], [0.9750562310218811, -0.5676250457763672]]"
0.1,0.2,0.01,1,45.85649871826172,1,0.582942008972168,"[[0.9903809428215027, 45.85649871826172], [0.9774775505065918, 1.1208837032318115]]"
0.1,0.2,0.01,2,66.20880889892578,1,0.5825347304344177,"[[0.9891733527183533, 66.20880889892578], [0.9815682768821716, -0.29516899585723877]]"
0.1,0.2,0.02,0,68.43802642822266,1,0.6008961200714111,"[[0.9881665706634521, 68.43802642822266], [0.9714331030845642, 0.4882725775241852]]"
0.1,0.2,0.02,1,72.90111541748047,1,0.5898451209068298,"[[0.9752728939056396, 72.90111541748047], [0.9702261090278625, 3.703322649002075]]"
0.1,0.2,0.02,2,73.8232421875,1,0.5864711999893188,"[[0.988426923751831, 73.8232421875], [0.9802168011665344, 0.2408052533864975]]"
0.1,0.2,0.03,0,75.99723815917969,1,0.6033022999763489,"[[0.989048182964325, 75.99723815917969], [0.9709212779998779, 1.0618627071380615]]"
0.1,0.2,0.03,1,79.4931411743164,1,0.5927646160125732,"[[0.9719105958938599, 79.4931411743164], [0.970291793346405, 4.325833797454834]]"
0.1,0.2,0.03,2,77.91243743896484,1,0.5896185636520386,"[[0.9871927499771118, 77.91243743896484], [0.9799244999885559, 0.6079943180084229]]"
0.1,0.2,0.05,0,82.11042022705078,1,0.6086207032203674,"[[0.98875492811203, 82.11042022705078], [0.9711982011795044, 1.6048250198364258]]"
0.1,0.2,0.05,1,84.41100311279297,1,0.5981200933456421,"[[0.9729481935501099, 84.41100311279297], [0.9717291593551636, 4.731207370758057]]"
0.1,0.2,0.05,2,82.18356323242188,1,0.5952291488647461,"[[0.9852197170257568, 82.18356323242188], [0.9802101254463196, 1.0202062129974365]]"
0.1,0.2,0.08,0,85.55010223388672,1,0.6153396368026733,"[[0.9882376790046692, 85.55010223388672], [0.9718753099441528, 1.8805186748504639]]"
0.1,0.2,0.08,1,87.4334716796875,1,0.6051985025405884,"[[0.9754510521888733, 87.4334716796875], [0.973465621471405, 4.928287982940674]]"
0.1,0.2,0.08,2,84.97640991210938,1,0.6028462052345276,"[[0.9835379719734192, 84.97640991210938], [0.9809867143630981, 1.187438726425171]]"
0.1,0.2,0.12,0,87.58734130859375,1,0.6242619752883911,"[[0.987327516078949, 87.58734130859375], [0.9725418090820312, 1.9413118362426758]]"
0.1,0.2,0.12,1,89.27987670898438,1,0.6143346428871155,"[[0.9770050644874573, 89.27987670898438], [0.9749042987823486, 4.937826633453369]]"
0.1,0.2,0.12,2,86.68416595458984,1,0.6114081144332886,"[[0.9820479154586792, 86.68416595458984], [0.9819548726081848, 1.1344467401504517]]"
0.1,0.2,0.18,0,89.10757446289062,1,0.6379460096359253,"[[0.9853987693786621, 89.10757446289062], [0.9731875658035278, 1.7305431365966797]]"
0.1,0.2,0.18,1,90.65349578857422,1,0.6275452375411987,"[[0.9774799942970276, 90.65349578857422], [0.9759680032730103, 4.668600559234619]]"
0.1,0.2,0.18,2,88.04346466064453,1,0.6258342862129211,"[[0.9829992651939392, 0.7289187908172607], [0.9804074168205261, 88.04346466064453]]"
