cond,rho,eps,b_rate,sigma,seed,absorbed,cos_comp,cos_child,cos_b,n_flagged,tp_flagged,fp_count,tp_cos,tp_lift,rate_i,rate_j,rec,orient_ok,child_res_cos,rho_hat
F,0.1,0.0152,0.0,0.0,14,0,0.7974,0.9707,0.6997,0,0,0,0.1653,2.8341,0.0399,0.25102,0.0854,,,
F,0.1,0.0152,0.0,0.0,15,0,0.8559,0.9544,0.6887,0,0,0,0.2337,2.8375,0.04051,0.25099,0.0979,,,
N,0.0,0.0,0.0,0.0,0,0,0.2676,0.1808,0.2063,2,0,2,1.0,0.0,0.0,0.0,0.0835,,,
N,0.0,0.0,0.0,0.0,1,0,0.0443,0.095,0.046,1,0,1,0.1136,0.0,0.07941,0.0,0.0761,,,
N,0.0,0.0,0.0,0.0,2,0,0.276,0.2445,0.0539,0,0,0,1.0,0.0,0.0,0.0,0.081,,,
N,0.0,0.0,0.0,0.0,3,0,0.0447,0.0386,0.2546,0,0,0,0.0677,0.0,0.0793,0.0,0.0772,,,
N,0.0,0.0,0.0,0.0,4,0,0.06,0.0369,0.0574,2,0,2,1.0,40000.0,3e-05,3e-05,0.0768,,,
N,0.0,0.0,0.0,0.0,5,0,0.0969,0.0386,0.0468,1,0,1,1.0,25000.0,4e-05,4e-05,0.0765,,,
N,0.0,0.0,0.0,0.0,6,0,0.0291,0.0456,0.1145,2,0,2,0.0001,0.0,0.0,0.07929,0.0759,,,
N,0.0,0.0,0.0,0.0,7,0,0.0651,0.0856,0.0301,1,0,1,0.2395,1.6544,0.07091,0.06121,0.0838,,,
N,0.0,0.0,0.0,0.0,8,0,0.1332,0.0859,0.1851,0,0,0,1.0,0.0,0.0,0.0,0.0796,,,
N,0.0,0.0,0.0,0.0,9,0,0.3639,0.1314,0.3267,1,0,1,1.0,0.0,0.0,0.0,0.0827,,,
N,0.0,0.0,0.0,0.0,10,0,0.0449,0.0696,0.0538,0,0,0,0.039,1.0411,0.00664,0.08028,0.0775,,,
N,0.0,0.0,0.0,0.0,11,0,0.0419,0.0873,0.0366,2,0,2,0.1915,0.0,0.0,0.07963,0.0745,,,
N,0.0,0.0,0.0,0.0,12,0,0.1897,0.0919,0.0509,1,0,1,1.0,0.0,0.0,0.0,0.0796,,,
N,0.0,0.0,0.0,0.0,13,0,0.061,0.1094,0.1355,0,0,0,1.0,0.0,0.0,0.0,0.0802,,,
N,0.0,0.0,0.0,0.0,14,0,0.0362,0.0354,0.0824,1,1,0,0.729,10.7532,0.01045,0.07982,0.0763,0,0.0627,0.12853
N,0.0,0.0,0.0,0.0,15,0,0.3756,0.3444,0.1167,0,0,0,1.0,0.0,0.0,0.0,0.0848,,,
