gamma,eps,seed,child_latent_angle_deg,top_1_rho,top_1_phi_deg,top_2_rho,top_2_phi_deg,top_3_rho,top_3_phi_deg,top_4_rho,top_4_phi_deg,top_5_rho,top_5_phi_deg
0.1,0.03,1,74.1639175415039,0.98592609167099,74.1639175415039,0.974944531917572,0.4757450520992279,0.08175946772098541,-8.7222318649292,0.08012256026268005,42.09285354614258,0.07264259457588196,168.5431365966797
0.1,0.03,2,75.4842758178711,0.985178530216217,75.4842758178711,0.9744328856468201,0.32928577065467834,0.07973015308380127,44.707763671875,0.07825782895088196,-8.562698364257812,0.07130849361419678,167.5615692138672
0.1,0.03,3,73.6850357055664,0.9860954284667969,73.68502807617188,0.9745532274246216,0.5258188247680664,0.0750255212187767,-9.781052589416504,0.07461272925138474,42.843170166015625,0.06742601096630096,167.5724334716797
0.1,0.03,4,75.6268310546875,0.9854319095611572,75.6268310546875,0.9745347499847412,0.3895704448223114,0.08312785625457764,43.53788757324219,0.07775650173425674,-7.022719383239746,0.07011713832616806,169.35987854003906
0.1,0.03,5,75.42143249511719,0.9853249788284302,75.42143249511719,0.9747980833053589,0.19254007935523987,0.08122193068265915,-7.217007637023926,0.07268214225769043,41.845237731933594,0.07055623084306717,167.6735382080078
0.1,0.03,6,73.65580749511719,0.9861159324645996,73.65579986572266,0.9750314354896545,0.37777137756347656,0.08139937371015549,43.29948043823242,0.07884244620800018,-8.975369453430176,0.0687042623758316,169.0856475830078
0.1,0.03,7,74.2817611694336,0.985747754573822,74.2817611694336,0.9748392701148987,0.45326507091522217,0.07993166148662567,44.6640510559082,0.0751463770866394,-9.477046966552734,0.0690440982580185,168.07186889648438
0.25,0.005,0,46.532958984375,0.991233229637146,46.532962799072266,0.9819827079772949,-1.74312424659729,0.06804802268743515,169.97769165039062,0.06765525788068771,-4.1642327308654785,0.0639379471540451,43.91105270385742
0.25,0.005,1,46.603755950927734,0.9910252690315247,46.60375213623047,0.9820411205291748,-1.7943837642669678,0.07721901684999466,41.05591583251953,0.06748601049184799,167.80551147460938,0.058821674436330795,-3.8623955249786377
0.25,0.005,2,46.6884880065918,0.9909008741378784,46.6884880065918,0.9822642207145691,-1.6992886066436768,0.0772942453622818,42.62129592895508,0.06746327131986618,170.76109313964844,0.06475526094436646,-2.9793267250061035
0.25,0.005,3,67.1500244140625,0.988459050655365,67.1500244140625,0.9759479761123657,-1.7617058753967285,0.08103611320257187,-9.439186096191406,0.0688491016626358,39.494056701660156,0.06774339079856873,167.08010864257812
0.25,0.005,4,46.50056076049805,0.99086594581604,46.50056076049805,0.9826549887657166,-1.8098784685134888,0.07751717418432236,41.196773529052734,0.06131083145737648,166.85531616210938,0.06126291677355766,-3.647726535797119
0.25,0.005,5,46.626373291015625,0.9909374117851257,46.62637710571289,0.9817138910293579,-1.6129461526870728,0.06970898061990738,-3.6127781867980957,0.06578558683395386,170.39776611328125,0.06323804706335068,43.31111526489258
0.25,0.005,6,46.54322814941406,0.9912263751029968,46.54322814941406,0.9820348620414734,-1.7825462818145752,0.0792621374130249,42.95247268676758,0.06948025524616241,-2.701286554336548,0.06526476889848709,169.74729919433594
0.25,0.005,7,66.16424560546875,0.9902982711791992,66.16423797607422,0.9768988490104675,-1.9567303657531738,0.21221378445625305,-145.81463623046875,0.08043874055147171,-5.211489200592041,0.07368222624063492,36.34823989868164
0.25,0.01,0,46.928104400634766,0.9908648729324341,46.928104400634766,0.9816874265670776,-2.0831425189971924,0.06961875408887863,-2.2019150257110596,0.06829701364040375,168.86520385742188,0.06157191842794418,42.054046630859375
0.25,0.01,1,46.94587326049805,0.9910088181495667,46.94588088989258,0.9832889437675476,-1.9510467052459717,0.11883588135242462,-154.8418731689453,0.0773673728108406,40.99977111816406,0.06868406385183334,169.34324645996094
0.25,0.01,2,46.98848342895508,0.9911442399024963,46.98848342895508,0.9832373857498169,-1.9074784517288208,0.07721555233001709,42.63539505004883,0.06468956172466278,-1.4251924753189087,0.06226518377661705,166.90518188476562
0.25,0.01,3,47.05691909790039,0.991157054901123,47.05691909790039,0.9817358255386353,-1.9914315938949585,0.07815320044755936,42.13786697387695,0.0696800947189331,-2.703603982925415,0.06693921983242035,167.8173065185547
0.25,0.01,4,71.3617935180664,0.9863877892494202,71.3617935180664,0.9746361374855042,-0.9212687611579895,0.07792049646377563,-8.547697067260742,0.07611316442489624,42.466983795166016,0.06941817700862885,167.1356658935547
0.25,0.01,5,70.38865661621094,0.9878518581390381,70.3886489868164,0.9760842323303223,-1.2287620306015015,0.12161277234554291,-78.63052368164062,0.08001448959112167,-6.213444232940674,0.07127315551042557,168.18186950683594
0.25,0.01,6,47.078853607177734,0.9908280968666077,47.078853607177734,0.9818467497825623,-2.215848207473755,0.08084788173437119,40.51482391357422,0.0718839168548584,167.9782257080078,0.07095405459403992,-0.4948175847530365
0.25,0.01,7,47.08872985839844,0.9909644722938538,47.08872985839844,0.9820387959480286,-1.9743460416793823,0.07449782639741898,44.099205017089844,0.06899472326040268,-1.4355093240737915,0.0649016946554184,168.96519470214844
0.25,0.02,0,69.88260650634766,0.9880449175834656,69.88260650634766,0.9752244353294373,-0.1121300682425499,0.08325281739234924,40.894691467285156,0.08191227912902832,-7.0697922706604,0.06923277676105499,167.14666748046875
0.25,0.02,1,72.0788345336914,0.9872605800628662,72.0788345336914,0.9744523167610168,0.26666226983070374,0.08444381505250931,-7.419601917266846,0.07060176879167557,167.57989501953125,0.06530587375164032,36.42824172973633
0.25,0.02,2,74.89506530761719,0.9851238131523132,74.89506530761719,0.9743961691856384,-0.2533402442932129,0.08074398338794708,43.11391830444336,0.0796758383512497,-7.892768859863281,0.07217894494533539,167.7353057861328
